Time,Quadrant Number,Ball Colour,Event Type
0.07, 4, blue, Entry
0.07, 1, blue, Entry
0.07, 4, blue, Exit
0.07, 1, blue, Exit
0.07, 2, blue, Entry
0.07, 4, green, Entry
0.07, 1, green, Entry
0.07, 4, green, Exit
0.07, 1, green, Exit
0.07, 2, green, Entry
0.08, 4, red, Entry
0.08, 1, red, Entry
0.08, 4, red, Exit
0.08, 1, red, Exit
0.08, 2, red, Entry
0.10, 2, blue, Exit
0.10, 4, blue, Entry
0.10, 1, blue, Entry
0.10, 4, blue, Exit
0.10, 1, blue, Exit
0.10, 2, blue, Entry
0.10, 2, green, Exit
0.10, 4, green, Entry
0.10, 1, green, Entry
0.10, 4, green, Exit
0.10, 1, green, Exit
0.10, 2, green, Entry
0.11, 2, red, Exit
0.11, 4, red, Entry
0.11, 1, red, Entry
0.11, 4, red, Exit
0.11, 1, red, Exit
0.11, 2, red, Entry
0.12, 2, blue, Exit
0.12, 4, blue, Entry
0.12, 1, blue, Entry
0.12, 4, blue, Exit
0.12, 1, blue, Exit
0.12, 2, blue, Entry
0.12, 2, green, Exit
0.12, 4, green, Entry
0.12, 1, green, Entry
0.12, 4, green, Exit
0.12, 1, green, Exit
0.12, 2, green, Entry
0.13, 2, red, Exit
0.13, 4, red, Entry
0.13, 1, red, Entry
0.13, 4, red, Exit
0.13, 1, red, Exit
0.13, 2, red, Entry
0.14, 2, blue, Exit
0.14, 4, blue, Entry
0.14, 1, blue, Entry
0.14, 4, blue, Exit
0.14, 1, blue, Exit
0.14, 2, blue, Entry
0.14, 2, green, Exit
0.14, 4, green, Entry
0.14, 1, green, Entry
0.14, 4, green, Exit
0.14, 1, green, Exit
0.14, 2, green, Entry
0.15, 2, red, Exit
0.15, 4, red, Entry
0.15, 1, red, Entry
0.15, 4, red, Exit
0.15, 1, red, Exit
0.15, 2, red, Entry
0.16, 2, blue, Exit
0.16, 4, blue, Entry
0.16, 1, blue, Entry
0.16, 4, blue, Exit
0.16, 2, green, Exit
0.16, 4, green, Entry
0.16, 1, green, Entry
0.16, 4, green, Exit
0.17, 2, red, Exit
0.17, 4, red, Entry
0.17, 1, red, Entry
0.17, 4, red, Exit
0.18, 1, blue, Exit
0.18, 4, blue, Entry
0.18, 2, blue, Entry
0.18, 4, blue, Exit
0.19, 1, green, Exit
0.19, 4, green, Entry
0.19, 2, green, Entry
0.19, 4, green, Exit
0.19, 1, red, Exit
0.19, 4, red, Entry
0.19, 2, red, Entry
0.19, 4, red, Exit
0.21, 2, blue, Exit
0.21, 4, blue, Entry
0.21, 2, green, Exit
0.21, 4, green, Entry
0.21, 2, red, Exit
0.21, 4, red, Entry
0.23, 2, blue, Entry
0.23, 4, blue, Exit
0.23, 2, green, Entry
0.23, 4, green, Exit
0.23, 2, red, Entry
0.23, 4, red, Exit
0.25, 2, blue, Exit
0.25, 4, blue, Entry
0.25, 2, green, Exit
0.25, 4, green, Entry
0.25, 2, red, Exit
0.25, 4, red, Entry
0.29, 3, blue, Entry
0.29, 4, blue, Exit
0.29, 3, blue, Exit
0.29, 4, blue, Entry
0.29, 3, green, Entry
0.29, 4, green, Exit
0.29, 3, green, Exit
0.29, 4, green, Entry
0.29, 3, red, Entry
0.29, 4, red, Exit
0.29, 3, red, Exit
0.29, 4, red, Entry
0.36, 2, blue, Entry
0.36, 4, blue, Exit
0.37, 2, green, Entry
0.37, 4, green, Exit
0.37, 2, red, Entry
0.37, 4, red, Exit
0.38, 2, blue, Exit
0.38, 4, blue, Entry
0.38, 2, blue, Entry
0.38, 4, blue, Exit
0.39, 2, green, Exit
0.39, 4, green, Entry
0.39, 2, green, Entry
0.39, 4, green, Exit
0.39, 2, red, Exit
0.39, 4, red, Entry
0.39, 2, red, Entry
0.39, 4, red, Exit
0.41, 2, blue, Exit
0.41, 4, blue, Entry
0.41, 2, blue, Entry
0.41, 4, blue, Exit
0.41, 2, green, Exit
0.41, 4, green, Entry
0.41, 2, green, Entry
0.41, 4, green, Exit
0.41, 2, red, Exit
0.41, 4, red, Entry
0.41, 2, red, Entry
0.41, 4, red, Exit
0.43, 2, blue, Exit
0.43, 4, blue, Entry
0.43, 2, blue, Entry
0.43, 4, blue, Exit
0.43, 2, green, Exit
0.43, 4, green, Entry
0.43, 2, green, Entry
0.43, 4, green, Exit
0.44, 2, red, Exit
0.44, 4, red, Entry
0.44, 2, red, Entry
0.44, 4, red, Exit
0.45, 2, blue, Exit
0.45, 4, blue, Entry
0.45, 2, blue, Entry
0.45, 4, blue, Exit
0.46, 2, green, Exit
0.46, 4, green, Entry
0.46, 2, green, Entry
0.46, 4, green, Exit
0.46, 2, red, Exit
0.46, 4, red, Entry
0.46, 2, red, Entry
0.46, 4, red, Exit
0.48, 2, blue, Exit
0.48, 4, blue, Entry
0.48, 1, blue, Entry
0.48, 4, blue, Exit
0.48, 2, green, Exit
0.48, 4, green, Entry
0.48, 1, green, Entry
0.48, 4, green, Exit
0.49, 2, red, Exit
0.49, 4, red, Entry
0.49, 1, red, Entry
0.49, 4, red, Exit
0.50, 1, blue, Exit
0.50, 3, blue, Entry
0.50, 3, blue, Exit
0.50, 4, blue, Entry
0.51, 1, green, Exit
0.51, 3, green, Entry
0.51, 3, green, Exit
0.51, 4, green, Entry
0.51, 1, red, Exit
0.51, 3, red, Entry
0.51, 3, red, Exit
0.51, 4, red, Entry
0.52, 3, blue, Entry
0.52, 4, blue, Exit
0.52, 3, blue, Exit
0.52, 4, blue, Entry
0.53, 3, green, Entry
0.53, 4, green, Exit
0.53, 3, green, Exit
0.53, 4, green, Entry
0.53, 3, red, Entry
0.53, 4, red, Exit
0.53, 3, red, Exit
0.53, 4, red, Entry
0.55, 1, blue, Entry
0.55, 4, blue, Exit
0.55, 1, blue, Exit
0.55, 2, blue, Entry
0.56, 1, green, Entry
0.56, 4, green, Exit
0.56, 1, green, Exit
0.56, 2, green, Entry
0.56, 1, red, Entry
0.56, 4, red, Exit
0.56, 1, red, Exit
0.56, 2, red, Entry
0.58, 2, blue, Exit
0.58, 4, blue, Entry
0.58, 2, green, Exit
0.58, 4, green, Entry
0.59, 2, red, Exit
0.59, 4, red, Entry
0.61, 3, blue, Entry
0.61, 4, blue, Exit
0.61, 3, blue, Exit
0.61, 4, blue, Entry
0.61, 2, blue, Entry
0.61, 4, blue, Exit
0.61, 3, green, Entry
0.61, 4, green, Exit
